101;Capital
104;Primes liées au capital social
105;Ecarts de réévaluation Capital souscrit - appelé, versé
106;Réserves
107;Ecart d'équivalence Plus-values nettes à long terme
108;Compte de l'exploitant
109;Actionnaires : capital souscrit - non appelé
110;Report à nouveau (solde créditeur)
119;Report à nouveau (solde débiteur)
120;Résultat de l'exercice (bénéfice)
129;Résultat de l'exercice (perte)
131;Subventions d'équipement Ecart d'équivalence
138;Autres subventions d'investissement
139;Subventions d'investissement inscrites au compte de résultat
142;Provisions réglementées relatives aux immobilisations Etat
143;Provisions réglementées relatives aux stocks
144;Provisions réglementées relatives aux autres éléments de l'actif
145;Amortissements dérogatoires
146;Provision spéciale de réévaluation
147;Plus-values réinvesties
148;Autres provisions réglementées
151;Provisions pour risques
153;Provisions pour pensions et obligations similaires
154;Provisions pour restructurations
155;Provisions pour impôts Provisions pour risques
156;Provisions pour renouvellement des immobilisations
157;Provisions pour charges à répartir sur plusieurs exercices
158;Autres provisions pour charges
161;Emprunts obligataires convertibles
163;Autres emprunts obligataires
164;Emprunts auprès des établissements de crédit
165;Dépôts et cautionnements reçus
166;Participation des salariés aux résultats
167;Emprunts et dettes assortis de conditions particulières
168;Autres emprunts et dettes assimilées
169;Primes de remboursement des obligations Rentes viagères capitalisées
171;Dettes rattachées à des participations (groupe)
174;Dettes rattachées à des participations (hors groupe)
178;Dettes rattachées à des sociétés en participation
181;Comptes de liaison des établissements
186;Biens et prestations de services échangés entre établissements (charges)
187;Biens et prestations de services échangés entre établissements (produits)
188;Comptes de liaison des sociétés en participation
201;Frais d'établissement
203;Frais de recherche et de développement
205;Concessions et droits similaires, brevets, licences, marques, procédés, logiciels, droits et valeurs similaires
206;Droit au bail
207;Fonds commercial
208;Autres immobilisations incorporelles
211;Terrains
212;Agencements et aménagements de terrains
213;Constructions
214;Constructions sur sol d'autrui
215;Installations techniques, matériels et outillage industriels Affectés aux opérations professionnelles
218;Autres immobilisations corporelles
231;Immobilisations corporelles en cours
232;Immobilisations incorporelles en cours
237;Avances et acomptes versés sur immobilisations incorporelles
238;Avances et acomptes versés sur commandes d'immobilisations corporelles Emballages récupérables
261;Titres de participation
266;Autres formes de participation
267;Créances rattachées à des participations Terrains
268;Créances rattachées à des sociétés en participation
269;Versements restant à effectuer sur titres de participation non libérés
271;Titres immobilisés autres que les titres immobilisés de l'activité de portefeuille
272;Titres immobilisés
273;Titres immobilisés de l'activité de portefeuille
274;Prêts
275;Dépôts et cautionnements versés Autres titres
276;Autres créances immobilisées Bons
277;Actions propres ou parts propres
279;Versements restant à effectuer sur titres immobilisés non libérés
280;Amortissements des immobilisations incorporelles
281;Amortissements des immobilisations corporelles
282;Amortissements des immobilisations mises en concession Concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires
290;Dépréciations des immobilisations incorporelles
291;Dépréciations des immobilisations corporelles
292;Dépréciations des immobilisations mises en concession
293;Dépréciations des immobilisations en cours
296;Provisions pour dépréciation des participations et créances rattachées à des participations
297;Provisions pour dépréciation des autres immobilisations financières
311;Matières (ou groupe) A
312;Matières (ou groupe) B
317;Fournitures A, B, C,
321;Matières consommables
322;Fournitures consommables
326;Emballages
331;Produits en cours Combustibles
335;Travaux en cours
341;Etudes en cours Emballages récupérables non identifiables
345;Prestations de services en cours Produits en cours
351;Produits intermédiaires
355;Produits finis Etudes en cours
358;Produits résiduels (ou matières de récupération) Prestations de services en cours
371;Marchandises (ou groupe) A
372;Marchandises (ou groupe) B
391;Provisions pour dépréciation des matières premières (et fournitures)
392;Provisions pour dépréciation des autres approvisionnements
393;Provisions pour dépréciation des en-cours de production de biens
394;Provisions pour dépréciation des en-cours de production de services
395;Provisions pour dépréciation des stocks de produits
397;Provisions pour dépréciation des stocks de marchandises
400;Fournisseurs et Comptes rattachés
401;Fournisseurs
403;Fournisseurs - Effets à payer
404;Fournisseurs d'immobilisations
405;Fournisseurs d'immobilisations - Effets à payer
408;Fournisseurs - Factures non parvenues
409;Fournisseurs débiteurs
410;Clients et comptes rattachés
411;Clients
